a,b,ratio,sd_q,sd_lb,b_budget,drop_DUB,drop_HTA,sd_qz
PRS,TEL,0.8366682311118856,10.173064099239134,0.427861009824523,0.2459547362351142,0,0,0.9498227801730557
PRS,ULK,0.8988753763439931,10.03699306364598,0.43274626205961003,0.16003225829493048,0,0,0.7149968928113289
PRS,VIR,0.8670304469994972,10.145744769770802,0.418908749013245,0.207164386276586,0,0,0.9026761868031792
PRS,ZAL,0.7637437218554206,10.020476957822261,0.4248208211594355,0.3212741518203863,0,0,0.6864940656746912
RED,TEL,0.8002091119113844,10.15193960623779,0.440639198213474,0.31458253198962965,0,0,0.9133669849152074
RED,ULK,0.8616060317661146,10.018427777522708,0.4422995543655141,0.22709520590715207,0,0,0.6829576732300465
RED,VIR,0.825049852459673,10.126012313431385,0.43274626205961003,0.28467750827955157,0,0,0.868622712090275
RED,ZAL,0.7294581499653116,9.996604403071627,0.4379880339409683,0.3855294059991109,0,0,0.6452957766451999
TEL,ULK,0.857835628762586,10.048811183070084,0.440639198213474,0.22780139405672967,0,0,0.7353921251149167
TEL,VIR,0.8245047004842936,10.159419542103075,0.42786100982452296,0.2769893648367147,0,0,0.9262755555696288
TEL,ZAL,0.7192582892417836,10.039967979395213,0.4335529963683092,0.38699334853764855,0,0,0.7201308820368445
ULK,VIR,0.8810765074075646,10.009708512183895,0.43274626205961,0.19652334947586353,0,0,0.6679103179174058
ULK,ZAL,0.7987726969171788,9.913438327142899,0.4379880339409683,0.29575588053435997,0,0,0.5017711279701595
VIR,ZAL,0.7529108956681978,10.018074012799122,0.4248208211594355,0.35083490632759673,0,0,0.6823471603845223
